,Publish_time,Video_title,View,Like,Comment,Video_ID
0,2022-04-06,BURNLEY - EVERTON ,360543,3170,241,WkgdzuZWj-Y
1,2022-04-04,CRYSTAL PALACE - ARSENAL ,1123638,10038,1038,k3XWU03Hb3U
2,2022-04-03,TOTTENHAM - NEWCASTLE,1623256,14590,643,Gl3NROFXXXI
3,2022-04-03,WEST HAM - EVERTON,426732,2883,161,PTOVe1sQwkY
4,2022-04-02,MANCHESTER UNITED - LEICESTER CITY ,2293241,21328,1868,2bw9JQGOXf4
5,2022-04-02,BRIGHTON - NORWICH ,165588,900,32,6vlF4i2O5uU
6,2022-04-02,WOLVERHAMPTON - ASTON VILLA ,514217,3117,198,H8z-cH8UMjI
7,2022-04-02,BURNLEY - MAN CITY ,515370,6128,339,dF4WxS8foR0
8,2022-04-02,LIVERPOOL - WATFORD ,799287,6855,321,m40Y6ANFFro
9,2022-03-20,TOTTENHAM - WEST HAM ,1551906,14467,645,zIdE46dzfE4
10,2022-03-20,LEICESTER - BRENTFORD,451254,3087,155,AJhAAS7mqks
11,2022-03-19,ASTON VILLA - ARSENAL ,989907,9561,735,1Pkc3znOndw
12,2022-03-18,WOLVERHAMPTON - LEEDS ,844937,7365,529,Sso6DmmRdlU
13,2022-03-17,EVERTON - NEWCASTLE ,818755,7497,451,wyrAvz0xzd8
14,2022-03-17,MAN UTD,55192,684,183,_AnyuHWpsig
15,2022-03-16,ARSENAL - LIVERPOOL ,1795265,17621,1149,wax6wrHsXeU
16,2022-03-16,BRIGHTON - TOTTENHAM,763545,6865,270,E5yCLf6pcz0
17,2022-03-14,CRYSTAL PALACE - MAN CITY ,1395463,12630,1146,fa8-08bGM0k
18,2022-03-13,ARSENAL - LEICESTER ,1485642,12855,925,-OR1JkxfD4s
19,2022-03-13,LEEDS - NORWICH,414219,2694,153,iHMUOO4k1-0
20,2022-03-13,WEST HAM - ASTON VILLA ,409237,2847,114,HKBYGcW1p1I
21,2022-03-13,SOUTHAMPTON - WATFORD,141404,888,115,tbg3gEGxxwo
22,2022-03-13,EVERTON - WOLVES,355239,2181,119,A4MHtk9Mv9o
23,2022-03-13,CHELSEA - NEWCASTLE,1123444,11742,885,deNJ_R6JGX8
24,2022-03-12,MANCHESTER UNITED - TOTTENHAM ,4880757,73217,8372,ueD1ZMZvucg
25,2022-03-12,BRENTFORD - BURNLEY ,364606,2024,86,U4E8Tt3rXbM
26,2022-03-12,BRIGHTON - LIVERPOOL ,1070359,8126,420,3_aPHTjY3u4
27,2022-03-10,SOUTHAMPTON - NEWCASTLE,351326,2906,257,POM1s9Zciu8
28,2022-03-10,LEEDS UNITED - ASTON VILLA,511855,4503,248,OCwuHY_9HTI
29,2022-03-10,WOLVES - WATFORD ,197861,1558,87,v-LfP5CaRVU
30,2022-03-10,NORWICH CITY - CHELSEA ,1193467,12437,738,mjgjh06WfFQ
31,2022-03-07,TOTTENHAM - EVERTON ,1446950,15286,1052,xTcEFuU8uMA
32,2022-03-06,MAN CITY - MAN UNITED,2964063,34585,5445,aoTDeJNWkpI
33,2022-03-06,WATFORD - ARSENAL,1186532,10814,987,oNZBWG_Opg4
34,2022-03-05,LIVERPOOL - WEST HAM ,1417096,11673,612,ajDL-zgf85c
35,2022-03-05,ASTON VILLA - SOUTHAMPTON ,528319,3845,229,yGqSlOPhNzg
36,2022-03-05,NORWICH - BRENTFORD ,192001,1702,56,kynoFlOd7Zo
37,2022-03-05,NEWCASTLE - BRIGHTON ,351549,2144,170,noc2gNEYP-c
38,2022-03-05,WOLVERHAMPTON - CRYSTAL PALACE ,212255,1358,63,bnd0NScwqEY
